name,address,district,city,style,price_range,vibe_description,signature_cocktail
Nê Cocktail Bar,3B Tống Duy Tân,Hoàn Kiếm,Hà Nội,Speakeasy,$$$,"Cozy and hidden speakeasy famous for its legendary Phở Cocktail.",Pho Cocktail
The Mad Botanist,45 Lý Quốc Sư,Hoàn Kiếm,Hà Nội,Speakeasy,$$$$,"Beautiful 1920s gin bar overlooking St. Joseph's Cathedral.",Gin Tonic
Polite & Co,5B Ngõ Bảo Khánh,Hoàn Kiếm,Hà Nội,Classic Pub,$$$,"Cozy gentleman's club style pub with a retro travel vibe.",Old Fashioned
Gallery Bespoke Bar,95 Phùng Hưng,Hoàn Kiếm,Hà Nội,Modern Lounge,$$$$,"Artistic and upscale gallery lounge with premium craft cocktails.",Gallery Negroni
Kumquat Lounge,14 Ngõ Từ Hoa,Tây Hồ,Hà Nội,Modern Lounge,$$$,"Lakeside villa lounge with glowing lights and chill West Lake views.",Kumquat Sour
Summit Bar,1 Thanh Niên,Tây Hồ,Hà Nội,Rooftop Bar,$$$$,"Breathtaking high-altitude rooftop bar overlooking West Lake.",West Lake Sunset
Jigger Speakeasy,28 Tống Duy Tân,Hoàn Kiếm,Hà Nội,Speakeasy,$$$,"Hidden cocktail sanctuary serving highly innovative creations.",Jigger Martini
Bee'Z Knees,5 Lý Thái Tổ,Hoàn Kiếm,Hà Nội,Jazz Club,$$$$,"Live jazz club with elegant leather couches and premium single malts.",Honey Old Fashioned
Tadioto,24 Tông Đản,Hoàn Kiếm,Hà Nội,Modern Lounge,$$$,"Artsy and intellectual hub with poetry readings and cozy vibes.",Ginger Whiskey
The Haflington,94 Hàng Mã,Hoàn Kiếm,Hà Nội,Speakeasy,$$$$,"Museum-like private bar with vintage collectibles and taxidermy.",Amber Negroni
Crimson Lounge,111 Pasteur,Hai Bà Trưng,Hà Nội,Modern Lounge,$$$,"Lively and energetic, perfect for a night out with friends.",Vodka Martini
Sapphire Sky,183 Hai Bà Trưng,Hoàn Kiếm,Hà Nội,Dive Bar,$,"Sophisticated and elegant, ideal for romantic dates.",Whiskey Fizz
Urban Myth,115 Lý Tự Trọng,Hoàn Kiếm,Hà Nội,Classic Pub,$$,"A casual spot with great music and affordable drinks.",Gin Smash
Nomad's Rest,70 Lê Lợi,Đống Đa,Hà Nội,Speakeasy,$$$,"Quiet and relaxing, the best place to unwind after work.",Lotus Old Fashioned
Lunar Eclipse,119 Trần Hưng Đạo,Hoàn Kiếm,Hà Nội,Speakeasy,$$$$,"Sophisticated and elegant, ideal for romantic dates.",Tequila Martini
Solar Flare,2 Lê Lợi,Hai Bà Trưng,Hà Nội,Classic Pub,$,"Cozy and rustic, featuring live acoustic performances.",Vodka Mule
The Boathouse,185 Nguyễn Huệ,Hoàn Kiếm,Hà Nội,Speakeasy,$$$,"Lively and energetic, perfect for a night out with friends.",Matcha Old Fashioned
Secret Garden,23 Nguyễn Huệ,Tây Hồ,Hà Nội,Speakeasy,$$,"Lively and energetic, perfect for a night out with friends.",Mezcal Old Fashioned
The Nexus,23 Lý Tự Trọng,Đống Đa,Hà Nội,Dive Bar,$$,"Quiet and relaxing, the best place to unwind after work.",Rum Smash
Quantum,193 Lê Lợi,Ba Đình,Hà Nội,Jazz Club,$,"Exclusive and luxurious, offering breathtaking city views.",Rum Sour
Broken Barrel,117 Lý Tự Trọng,Hai Bà Trưng,Hà Nội,Jazz Club,$,"Exclusive and luxurious, offering breathtaking city views.",Whiskey Fizz
Laughing Buddha,4 Lê Lợi,Đống Đa,Hà Nội,Modern Lounge,$$$$,"Lively and energetic, perfect for a night out with friends.",Tequila Smash
Ocean's Edge,85 Nguyễn Huệ,Hai Bà Trưng,Hà Nội,Rooftop Bar,$,"A hidden gem with a mysterious and intimate atmosphere.",Rum Smash
Night Owl,64 Nguyễn Huệ,Tây Hồ,Hà Nội,Dive Bar,$$$,"Exclusive and luxurious, offering breathtaking city views.",Mezcal Sour
The Roost,58 Lý Tự Trọng,Hai Bà Trưng,Hà Nội,Jazz Club,$$$$,"Sophisticated and elegant, ideal for romantic dates.",Matcha Martini
Eagle's Eye,10 Tràng Tiền,Hoàn Kiếm,Hà Nội,Modern Lounge,$$$,"Exclusive and luxurious, offering breathtaking city views.",Coffee Old Fashioned
Raven's Call,35 Nguyễn Hữu Huân,Ba Đình,Hà Nội,Dive Bar,$$$$,"A vibrant mix of modern art and exceptional mixology.",Tequila Sour
The Crow's Nest,143 Phố Huế,Hai Bà Trưng,Hà Nội,Modern Lounge,$$$$,"Cozy and rustic, featuring live acoustic performances.",Chili Sour
White Rabbit,126 Cát Linh,Đống Đa,Hà Nội,Modern Lounge,$$,"Lively and energetic, perfect for a night out with friends.",Whiskey Smash
Blue Bear,127 Lò Đúc,Hai Bà Trưng,Hà Nội,Rooftop Bar,$$,"Sophisticated and elegant, ideal for romantic dates.",Rum Old Fashioned
Golden Lion,24 Kim Mã,Ba Đình,Hà Nội,Jazz Club,$$$,"A casual spot with great music and affordable drinks.",Chili Smash
Silver Wolf,141 Tràng Thi,Hoàn Kiếm,Hà Nội,Modern Lounge,$,"Sophisticated and elegant, ideal for romantic dates.",Vodka Martini
Bronze Bull,16 Lý Thường Kiệt,Hoàn Kiếm,Hà Nội,Dive Bar,$$$,"Sophisticated and elegant, ideal for romantic dates.",Whiskey Fizz
Cầu Giấy Club,45 Duy Tân,Cầu Giấy,Hà Nội,Classic Pub,$$,"Modern tech-hub lounge with a lively local crowd.",Gin Tonic
Long Biên Breeze,12 Ngọc Lâm,Long Biên,Hà Nội,Rooftop Bar,$$$,"Open-air terrace bar with beautiful views of the Red River.",Rum Punch
